Borough_code,Borough_name,All,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,160060,2317,2181,2276,2182,2008,1928,1865,1854,1631,1688,1655,1754,1732,1732,1668,1799,1748,1674,1985,2658,3001,2916,2711,2533,2344,2430,2263,2522,2588,2555,2746,2695,2627,2624,2664,2739,2681,2634,2690,2663,2485,2471,2451,2373,2377,2356,2320,2232,2191,2027,2091,1958,1934,1738,1783,1623,1634,1667,1555,1493,1553,1536,1626,1621,1646,1270,1190,1148,1150,936,948,943,919,845,892,784,759,746,738,726,696,670,609,568,479,530,457,423,359,367,332,256,129,113,107,81,62,42,36,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000022,Lambeth,303086,4517,4322,4167,3977,3718,3675,3258,3263,3052,3128,2940,3014,2938,2985,2877,2955,2844,2732,2853,2674,3228,3904,5152,6629,7789,8575,8785,8672,8604,8499,8500,7876,7612,6760,6257,5934,5670,5255,5221,5118,4938,4540,4643,4572,4395,4550,4517,4212,3915,3703,3609,3321,3043,2934,2694,2540,2406,2288,2143,1995,1874,1913,1752,1780,1693,1376,1406,1317,1338,1186,1285,1249,1203,1121,1136,983,934,822,863,836,804,755,642,550,536,506,414,381,333,302,256,181,104,85,62,52,59,35,32,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000023,Lewisham,275885,4679,4513,4437,4319,4056,3927,3352,3301,3113,2972,3018,3212,2869,3055,3114,3199,3154,3217,3293,3264,3599,3696,4468,4414,4706,4971,5079,5381,5359,5675,5962,5733,6004,5424,5540,5093,4758,4662,4821,4879,4536,4360,4334,4349,4340,4181,4308,4099,4035,3858,3616,3174,3130,3014,2816,2626,2432,2197,2165,2103,2017,1897,1901,2056,1918,1567,1517,1433,1480,1287,1270,1291,1304,1317,1175,1159,1077,1015,944,918,914,902,761,675,648,611,517,424,392,327,321,250,130,132,94,78,58,48,35,28,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000024,Merton,199693,3204,3136,2853,2878,2759,2537,2405,2283,2059,2123,2116,2055,2075,2093,2135,2142,2177,2241,2131,1718,1749,2101,2517,3001,3084,3562,3864,4003,4182,4266,4424,4381,4234,3889,3976,3643,3542,3392,3429,3249,3203,3097,3125,3101,2978,2972,2816,2873,2781,2597,2430,2372,2217,2147,2128,2060,1888,1831,1764,1806,1734,1744,1765,1825,1709,1394,1403,1259,1180,1138,1168,1126,1094,1095,1023,1009,891,872,930,822,847,738,652,654,550,508,441,453,373,330,285,264,127,109,104,86,61,44,26,31,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000025,Newham,307984,5362,5234,4992,5055,4741,4581,4262,4003,4081,3907,3967,3818,3915,3910,3977,4089,3995,3939,3980,4408,5409,5804,6627,7136,7610,8219,8265,8085,8193,7675,7325,6869,6316,5730,5655,5226,4740,4623,4561,4335,4538,4357,4409,3960,3958,3815,3504,3529,3477,3154,3311,3068,2833,2798,2721,2449,2276,2084,2073,1925,1876,1769,1648,1649,1591,1253,1227,1225,1209,1078,1127,1151,1124,1000,1067,885,903,773,772,722,676,632,526,482,425,409,360,270,293,235,208,177,85,62,61,64,36,31,10,12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000026,Redbridge,278970,4318,4459,4225,4385,4279,3874,3891,3796,3693,3670,3654,3648,3738,3746,3793,3689,3722,3805,3554,3167,3170,3420,3807,4189,4308,4531,4726,4789,4986,4782,5026,5009,4777,4587,4536,4278,4138,4210,4003,4013,4048,3935,3867,3982,3822,3860,3806,3762,3682,3451,3491,3406,3260,3227,3072,2973,2974,2765,2638,2595,2515,2545,2450,2537,2531,1935,2006,1841,1870,1513,1515,1642,1584,1517,1394,1364,1377,1313,1204,1191,1150,1138,1000,944,872,832,741,591,580,481,475,367,190,166,161,119,91,65,68,35,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000027,Richmond upon Thames,186990,2993,2857,2819,2705,2664,2446,2330,2210,2165,1956,2005,2060,2038,1925,1799,1966,1800,1821,1823,1675,1625,1542,1772,2008,2198,2126,2343,2512,2696,2869,3012,3133,3287,3322,3272,3279,3574,3525,3556,3499,3304,3171,3180,3155,3127,3086,3040,2875,2837,2698,2470,2445,2380,2281,2229,2100,2062,2027,1896,1982,1936,1886,1994,2181,2145,1635,1670,1590,1358,1153,1201,1199,1160,1097,960,1014,907,863,904,837,870,771,670,704,694,571,570,527,432,403,405,313,165,163,122,107,80,70,41,18,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000028,Southwark,288283,4670,4352,4020,3991,3706,3540,3258,3038,2960,2766,2809,2777,2868,2758,2885,2984,2826,2830,3349,3977,4768,4946,5482,5876,5924,6937,7133,7191,7210,7254,7044,6819,6503,6081,5850,5444,5263,5057,4970,4565,4815,4671,4426,4478,4536,4238,4216,4087,4033,3547,3716,3466,3102,3046,2740,2571,2365,2173,2039,1936,1918,1769,1817,1812,1756,1402,1383,1306,1282,1174,1132,1173,1115,1013,999,997,862,801,808,803,749,685,686,548,527,477,442,389,363,278,218,223,131,84,78,68,44,33,23,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000029,Sutton,190146,2574,2628,2564,2557,2427,2398,2295,2204,2116,2082,2218,2339,2246,2458,2412,2470,2506,2591,2155,1765,1790,1912,2206,2361,2388,2434,2455,2566,2794,2936,2875,2972,2848,2742,2866,2773,2954,2946,2958,3106,3051,2953,3031,3099,3279,3155,3149,3041,2905,2678,2697,2562,2481,2335,2199,2189,2024,2070,1948,1814,1978,1898,1950,2159,2381,1588,1744,1507,1470,1254,1174,1305,1284,1279,1180,1154,1163,996,1036,996,933,892,849,752,677,640,609,520,442,426,372,264,159,107,118,106,74,36,46,33,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000030,Tower Hamlets,254096,4065,3957,3706,3564,3458,3406,3099,3192,2948,2886,2771,2568,2610,2611,2642,2660,2476,2477,2977,4033,4851,5229,5920,7042,7776,7919,8075,8245,8039,7879,7771,7143,6412,5994,5708,4901,4897,4278,3778,3685,3595,3174,3133,2933,2843,2502,2414,2403,2297,2162,2051,2046,1934,1894,1811,1732,1645,1491,1562,1393,1247,1173,1174,1126,1143,893,862,815,805,765,869,832,764,785,779,708,667,642,621,566,619,528,446,440,374,316,289,251,215,185,164,115,46,55,39,30,24,28,8,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
