Borough_code,Borough_name,Age_code,Age_desc,Value
E09000004,Bexley,74,Aged 74 years,2248
E09000004,Bexley,75,Aged 75 years,1656
E09000004,Bexley,76,Aged 76 years,1722
E09000004,Bexley,77,Aged 77 years,1529
E09000004,Bexley,78,Aged 78 years,1572
E09000004,Bexley,79,Aged 79 years,1276
E09000004,Bexley,80,Aged 80 years,1206
E09000004,Bexley,81,Aged 81 years,1321
E09000004,Bexley,82,Aged 82 years,1288
E09000004,Bexley,83,Aged 83 years,1145
E09000004,Bexley,84,Aged 84 years,1050
E09000004,Bexley,85,Aged 85 years,951
E09000004,Bexley,86,Aged 86 years,854
E09000004,Bexley,87,Aged 87 years,761
E09000004,Bexley,88,Aged 88 years,677
E09000004,Bexley,89,Aged 89 years,530
E09000004,Bexley,90,Aged 90 years,496
E09000004,Bexley,91,Aged 91 years,402
E09000004,Bexley,92,Aged 92 years,328
E09000004,Bexley,93,Aged 93 years,266
E09000004,Bexley,94,Aged 94 years,205
E09000004,Bexley,95,Aged 95 years,124
E09000004,Bexley,96,Aged 96 years,89
E09000004,Bexley,97,Aged 97 years,89
E09000004,Bexley,98,Aged 98 years,59
E09000004,Bexley,99,Aged 99 years,44
E09000004,Bexley,100,Aged 100 years and over,58
E09000005,Brent,0,Aged under 1 year,3974
E09000005,Brent,1,Aged 1 year,4267
E09000005,Brent,2,Aged 2 years,3804
E09000005,Brent,3,Aged 3 years,4024
E09000005,Brent,4,Aged 4 years,3901
E09000005,Brent,5,Aged 5 years,4165
E09000005,Brent,6,Aged 6 years,3697
E09000005,Brent,7,Aged 7 years,3852
E09000005,Brent,8,Aged 8 years,4004
E09000005,Brent,9,Aged 9 years,4116
E09000005,Brent,10,Aged 10 years,4196
E09000005,Brent,11,Aged 11 years,4125
E09000005,Brent,12,Aged 12 years,4218
E09000005,Brent,13,Aged 13 years,4108
E09000005,Brent,14,Aged 14 years,4224
E09000005,Brent,15,Aged 15 years,3999
E09000005,Brent,16,Aged 16 years,4225
E09000005,Brent,17,Aged 17 years,4157
E09000005,Brent,18,Aged 18 years,4125
E09000005,Brent,19,Aged 19 years,4116
E09000005,Brent,20,Aged 20 years,4189
E09000005,Brent,21,Aged 21 years,4462
E09000005,Brent,22,Aged 22 years,4870
E09000005,Brent,23,Aged 23 years,5389
E09000005,Brent,24,Aged 24 years,5679
E09000005,Brent,25,Aged 25 years,5681
E09000005,Brent,26,Aged 26 years,5773
E09000005,Brent,27,Aged 27 years,6032
E09000005,Brent,28,Aged 28 years,5883
E09000005,Brent,29,Aged 29 years,5943
E09000005,Brent,30,Aged 30 years,5989
E09000005,Brent,31,Aged 31 years,6174
E09000005,Brent,32,Aged 32 years,5960
E09000005,Brent,33,Aged 33 years,5876
E09000005,Brent,34,Aged 34 years,5848
E09000005,Brent,35,Aged 35 years,5681
E09000005,Brent,36,Aged 36 years,5589
E09000005,Brent,37,Aged 37 years,5448
E09000005,Brent,38,Aged 38 years,5342
E09000005,Brent,39,Aged 39 years,5628
E09000005,Brent,40,Aged 40 years,5375
E09000005,Brent,41,Aged 41 years,5520
E09000005,Brent,42,Aged 42 years,4985
E09000005,Brent,43,Aged 43 years,4805
E09000005,Brent,44,Aged 44 years,4672
E09000005,Brent,45,Aged 45 years,4785
E09000005,Brent,46,Aged 46 years,4952
E09000005,Brent,47,Aged 47 years,4447
E09000005,Brent,48,Aged 48 years,4545
E09000005,Brent,49,Aged 49 years,4390
